"","licensee","total"
"1","Cermaq",0.6
"2","Cermaq",3.9
"3","Cermaq",0.3
"4","Cermaq",0.6
"5","Cermaq",0.5
"7","Cermaq",1.6
"8","Cermaq",0.9
"9","Cermaq",6.9
"10","Cermaq",1.2
"11","Cermaq",1.3
"13","Grieg",2.3
"14","Grieg",1.6
"15","Grieg",0
"16","Grieg",0.1
"17","Grieg",1.5
"18","Marine Harvest",4.1
"19","Marine Harvest",2.5
"20","Grieg",1.7
"21","Grieg",0.8
"22","Grieg",1.8
"23","Grieg",2.1
"24","Grieg",0.6
"25","Grieg",2.4
"26","Marine Harvest",9.9
"27","Cermaq",4.2
"28","Cermaq",3.2
"29","Cermaq",7
"30","Grieg",0
"31","Marine Harvest",2.4
"32","Marine Harvest",0.9
"33","Marine Harvest",1.3
"34","Marine Harvest",0.2
"37","Cermaq",1.9
"38","Cermaq",1.7
"39","Marine Harvest",8.1
"40","Marine Harvest",5.9
"41","Marine Harvest",10.1
"42","Marine Harvest",2.3
"43","Marine Harvest",42.4
"44","Marine Harvest",3.9
"46","Marine Harvest",0.6
"49","Marine Harvest",1.8
"52","Marine Harvest",0.4
"53","Marine Harvest",1.3
"55","Marine Harvest",1.1
"56","Marine Harvest",3.3
"58","Marine Harvest",4.7
"59","Cermaq",2.5
"60","Cermaq",2.3
"61","Cermaq",0.2
"62","Cermaq",1
"63","Cermaq",0.9
"65","Cermaq",1.4
"66","Cermaq",0.5
"67","Cermaq",11.5
"69","Cermaq",1.7
"70","Cermaq",1.1
"71","Grieg",3.4
"72","Grieg",2.3
"73","Grieg",0
"75","Grieg",0
"76","Grieg",2.6
"77","Marine Harvest",6.5
"78","Marine Harvest",7
"79","Grieg",1.1
"80","Grieg",0.3
"81","Grieg",1.7
"82","Grieg",0.4
"84","Marine Harvest",9
"85","Cermaq",5.4
"86","Cermaq",4
"87","Cermaq",6.2
"88","Grieg",0.6
"89","Marine Harvest",2.3
"91","Marine Harvest",2.8
"92","Marine Harvest",0.3
"94","Cermaq",5.6
"96","Marine Harvest",4.8
"97","Marine Harvest",7
"98","Marine Harvest",52.4
"99","Marine Harvest",1.8
"100","Marine Harvest",2.8
"101","Marine Harvest",3.4
"103","Marine Harvest",1.8
"105","Marine Harvest",0.9
"106","Marine Harvest",3.8
"109","Marine Harvest",1.7
"110","Marine Harvest",3.4
"111","Marine Harvest",0
"112","Marine Harvest",0.6
"113","Marine Harvest",1
"114","Marine Harvest",3.2
"115","Marine Harvest",5.8
"116","Cermaq",3.6
"117","Cermaq",3
"118","Cermaq",0.3
"119","Cermaq",0.7
"120","Cermaq",0.6
"122","Cermaq",2.9
"123","Cermaq",0.2
"124","Cermaq",4.3
"125","Cermaq",1.2
"127","Cermaq",1.7
"128","Grieg",3.8
"129","Grieg",4.1
"130","Grieg",0
"131","Grieg",0.2
"132","Grieg",2.4
"133","Marine Harvest",24.6
"134","Marine Harvest",19.3
"135","Grieg",0.7
"136","Grieg",1.1
"138","Grieg",0.7
"141","Marine Harvest",0.5
"142","Cermaq",6.2
"143","Cermaq",6.5
"144","Cermaq",5.9
"145","Grieg",4
"147","Marine Harvest",1
"148","Marine Harvest",4.4
"149","Marine Harvest",0.5
"151","Cermaq",5
"152","Cermaq",2.6
"154","Marine Harvest",1
"155","Marine Harvest",1
"156","Marine Harvest",2.3
"157","Marine Harvest",1.2
"158","Marine Harvest",0.5
"159","Marine Harvest",2.4
"161","Marine Harvest",1.5
"163","Marine Harvest",1.4
"164","Marine Harvest",4.2
"166","Marine Harvest",4.6
"167","Marine Harvest",0.7
"168","Marine Harvest",0
"169","Marine Harvest",0.4
"170","Marine Harvest",2.4
"171","Marine Harvest",0.9
"172","Marine Harvest",8
